cte,steering_angle,error
0.9381,-0.466405,0.544324
1.0101,-0.410505,0.545418
1.044,-0.2217,0.546667
1.0681,-0.173905,0.548026
1.07,-0.063,0.549389
1.0572,0.01114,0.550684
1.0411,0.028445,0.551896
1.0118,0.09591,0.552965
0.9904,0.05748,0.553934
0.9602,0.10299,0.554764
0.9416,0.04592,0.555512
0.9181,0.071595,0.556158
0.9018,0.03641,0.556734
0.9528,-0.30264,0.55752
1.0247,-0.410735,0.558619
1.1271,-0.568355,0.560204
1.1814,-0.33057,0.562061
1.2321,-0.315105,0.56418
1.2476,-0.13988,0.566376
1.248,-0.0644,0.568564
1.2364,-0.00382,0.570679
1.2084,0.07958,0.572634
1.1851,0.057245,0.574458
1.1493,0.121535,0.576091
1.1256,0.06222,0.5776
1.0942,0.10229,0.57895
1.0758,0.03821,0.580207
1.0533,0.059835,0.581355
1.0358,0.03571,0.582419
1.0269,-0.006845,0.583439
1.0202,-0.01751,0.584424
1.0125,-0.012125,0.585372
1.0185,-0.080925,0.586342
1.0981,-0.452905,0.587669
1.2422,-0.78261,0.58971
1.3288,-0.49944,0.592217
1.4005,-0.428525,0.595131
1.4771,-0.456855,0.598499
1.5177,-0.278885,0.602111
1.5241,-0.108205,0.605749
1.5084,0.00308,0.609272
1.4862,0.03669,0.612639
1.4449,0.134255,0.615738
1.4143,0.082285,0.618641
1.3705,0.150475,0.621276
1.3296,0.13802,0.623669
1.3138,0.01331,0.625966
1.3284,-0.13942,0.628333
1.3959,-0.407295,0.631072
1.4679,-0.433395,0.634227
1.5052,-0.26176,0.637598
1.5359,-0.230295,0.641147
1.5422,-0.10861,0.644721
1.5349,-0.040245,0.648235
1.5021,0.088895,0.65153
1.4788,0.04256,0.65467
1.4555,0.043725,0.657658
1.4209,0.101955,0.66043
1.398,0.0446,0.66306
1.3676,0.08362,0.665509
1.3411,0.065445,0.667802
1.3262,0.00819,0.670007
1.3086,0.02257,0.672108
1.299,-0.01695,0.674151
1.2877,-0.007885,0.676127
1.2816,-0.03358,0.678064
1.274,-0.0257,0.679954
1.2694,-0.04047,0.681813
1.371,-0.57655,0.684199
1.3803,-0.115515,0.686626
1.6065,-1,0.690385
1.7119,-0.612595,0.694821
1.8029,-0.545145,0.699871
1.8743,-0.450715,0.70542
1.9441,-0.446205,0.711471
1.9676,-0.21588,0.71768
1.9733,-0.127165,0.723908
1.9582,-0.02241,0.729995
1.9218,0.08591,0.735783
1.8897,0.066015,0.741309
1.8559,0.076205,0.746568
1.8036,0.17132,0.751435
1.7687,0.086065,0.756041
1.7366,0.07367,0.760412
1.6927,0.134865,0.764476
1.675,0.00475,0.768408
1.6993,-0.206465,0.772484
1.76,-0.3915,0.776947
1.7968,-0.27384,0.781643
1.8237,-0.225685,0.786508
1.8414,-0.18057,0.791478
1.8515,-0.143075,0.7965
1.8543,-0.106715,0.801522
1.8488,-0.06494,0.806487
1.8383,-0.039415,0.81136
1.8156,0.02272,0.816058
1.7753,0.112735,0.820465
1.753,0.02385,0.824707
1.7666,-0.15633,0.829023
1.8117,-0.316085,0.833626
1.9479,-0.778395,0.83917
2.0781,-0.754905,0.845673
2.147,-0.45185,0.852696
2.1961,-0.355305,0.860089
2.2372,-0.31736,0.867793
2.2458,-0.15529,0.875541
2.2407,-0.086535,0.883217
2.2258,-0.03679,0.890742
2.1905,0.066975,0.897951
2.1437,0.126815,0.904761
2.11,0.063,0.911281
2.0774,0.05913,0.917528
2.0456,0.05672,0.923511
1.9988,0.13406,0.929127
1.9687,0.052065,0.934504
1.9297,0.098515,0.939585
1.9071,0.017645,0.944489
1.8877,0.002615,0.949242
1.8623,0.033885,0.953805
1.84,0.0195,0.958203
1.8273,-0.027865,0.9625
1.8164,-0.03632,0.966711
1.8249,-0.133745,0.970962
1.8741,-0.339705,0.975524
1.9894,-0.67597,0.980869
2.0801,-0.557505,0.986854
2.1564,-0.48932,0.993396
2.2152,-0.40476,1.00037
2.2714,-0.39457,1.00777
2.292,-0.2176,1.01531
2.2865,-0.086825,1.02278
2.2564,0.03768,1.02998
2.226,0.0407,1.03692
2.1923,0.058885,1.04357
2.1566,0.07067,1.04992
2.12,0.077,1.05597
2.0651,0.171245,1.0616
2.0293,0.077535,1.06695
1.9827,0.133865,1.07196
1.9432,0.10034,1.07668
1.9214,0.01293,1.08123
1.9036,-0.00618,1.08566
1.8808,0.01996,1.08991
1.8728,-0.05364,1.0941
1.9001,-0.231505,1.09846
1.9374,-0.28337,1.10304
1.9701,-0.262005,1.10783
1.9951,-0.224755,1.11278
2.0176,-0.21338,1.11786
2.0232,-0.12916,1.12296
2.0176,-0.07288,1.12801
2.0061,-0.042805,1.13296
1.981,0.02645,1.13772
1.9603,0.005485,1.14233
1.9385,0.012075,1.14678
1.9042,0.07629,1.15099
1.8805,0.024475,1.15503
1.8898,-0.14099,1.15912
1.9219,-0.256595,1.1634
1.9951,-0.465755,1.16815
2.0373,-0.312865,1.17317
2.0668,-0.25084,1.17838
2.0844,-0.19222,1.18369
2.093,-0.14765,1.18905
2.0825,-0.051625,1.19431
2.0663,-0.022315,1.19945
